,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
84,s85,TV Show,Wishenpoof,,"Addison Holley, Hope Cassandra, Scott McCord, Katie Griffin, Ethan Tavares, Devan Cohen, Roanna Cochrane, Millie Davis, Jason Priestley, Saara Chaudry, Kyle Lomas, Ava Priestley, Johnny Orlando, Kathy Laskey, Matthew MacFadzean, TJ McGibbon, Elizabeth Hanna, Caissie Levy, Ava Close, Nissae Isen, Jeff Geddis, Kristin Fairlie",United States,,2019,ALL,4 Seasons,Kids,"Bianca is just like any other little girl, except for one teensy little thing.  Bianca has Wish Magic, so she can make wishes come true! Whether she’s at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems."
173,s174,Movie,Vows of Deception,Bill Norton,"Cheryl Ladd, Nick Manusco, Nancy Cartwright, Vyto Ruginis, Mike Farrell, Cady Huffman",United States,,1996,PG-13,94 min,"Drama, Suspense","When a prominent lawyer is found murdered, his wife is promptly arrested and charged with the crime. She swiftly accuses her stepson, with whom she claims to be having an affair. This sheds enough reasonable doubt to get her case dismissed on grounds of a mistrial, but three years later, prosecutors arrest and charge her again. Will she be so lucky on her second go?"
224,s225,Movie,Under the Boardwalk: The Monopoly Story,Kevin Tostado,Zachary Levi,United States,,2011,G,88 min,"Documentary, Special Interest","""Under the Boardwalk"" looks into how the classic board game of Monopoly has become a worldwide cultural phenomenon, people who collect anything and everything Monopoly, and follows the colorful players who come together to compete for the coveted title of Monopoly World Champion."
239,s240,Movie,UFOs - The Secret History,David Cherniack,"Michael D. Swords PhD., Jerome Clark, David Jacobs Ph.D., Thomas E. Bullard Ph.D., Budd Hopkins, Travis Walton, Maj. Robert Friend (USAF Rtd.), Bruce Maccabee Ph.D., J. Gordon Melton Ph.D., David Rudiak",United States,,2016,ALL,102 min,Special Interest,"Considered one of the best documentaries ever produced on this subject, this ground breaking feature-length documentary traces the history of the most powerful story of our time, the UFO phenomenon. Loaded with amazing information, expert analyses, and interviews with leading UFOlogists. Also available Part 2 Addendum and Part 3 Addendum with over 3-Hours of additional commentary."
251,s252,TV Show,Tumble Leaf,,"Christopher Downs, Brooke Wolloff, Zac McDowell, Skyler Brigmann, Addie Zintel, Alex Trugman, John Taylor, Jodi Downs, Alan Franzenburg, Emily Downs",United States,,2019,ALL,6 Seasons,Kids,"Tumble Leaf is a series aimed at preschoolers, set in a whimsical land where a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by narratives that promote play, the fun of learning and understanding the world around them."
283,s284,Movie,Tortilla Soup,Maria Ripoll,"Héctor Elizondo, Jacqueline Obradors, Elizabeth Peña, Tamara Mello, Raquel Welch, Paul Rodriguez, Constance Marie",United States,,2002,PG-13,104 min,"Comedy, Drama, Romance",A Mexican-American master chef and father to three daughters has lost his taste for food but not for life.
321,s322,Movie,To Catch a Thief,Alfred Hitchcock,"Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams, Charles Vanel, Brigitte Auber, Jean Martinelli, Georgette Anys",United States,,1955,PG,106 min,"Drama, Suspense",Stars Cary Grant as a former thief suspected of a new series of crimes and Grace Kelly as the woman who romances him.
365,s366,Movie,Think Like a Dog (4K UHD),Gil Junger,"Gabriel Bateman, Josh Duhamel, Megan Fox, Kunal Nayyar, Julia Jones, Janet Montgomery, Bryan Callen, Todd Stashwick, Neo Hooo","China, United States, United Kingdom",,2020,PG,91 min,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy."
366,s367,Movie,Think Like a Dog,Gil Junger,"Gabriel Bateman, Josh Duhamel, Megan Fox, Kunal Nayyar, Julia Jones, Janet Montgomery, Bryan Callen, Todd Stashwick, Neo Hooo","China, United States, United Kingdom",,2020,PG,91 min,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy."
402,s403,Movie,The Vast of Night,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis, Cheyenne Barton, Gregory Peyton",United States,,2020,PG-13,91 min,"Drama, Science Fiction, Suspense","In the twilight of the 1950s, on one fateful night in New Mexico, a young switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever."
436,s437,TV Show,The Stinky & Dirty Show,,"Issac Ryan Brown, Jet Jurgensmeyer",United States,,2019,ALL,5 Seasons,Kids,"Best friends Stinky the garbage truck and Dirty the backhoe loader return for more resourcefulness and whimsical adventures – all inspired by using what’s around them and asking the question: “What if…?” Based on books by Jim and Kate McMullan with original music from Dan Bern and featuring celebrity voices like Whoopi Goldberg, Jane Lynch, Andy Richter, Joan Cusack and Wallace Shawn."
455,s456,Movie,The Secret of Roan Inish,John Sayles,"Jeni Courtney, Eileen Colgan, Mick Lally, Susan Lynch, John Lynch, Frankie McCafferty","United States, Ireland",,1995,PG,102 min,Drama,Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.
505,s506,Movie,The Nutty Professor (1963),Jerry Lewis,"Jerry Lewis, Stella Stevens, Del Moore",United States,,1963,ALL,107 min,"Comedy, Science Fiction","Jerry Lewis plays a timid, nearsighted chemistry teacher who discovers a magical potion that can transform him into a suave and handsome Romeo. The Jekyll and Hyde game works well enough until the concoction starts to wear off at the most embarrassing times."
530,s531,Movie,The Monster Squad,Fred Dekker,"Andre Gower, Duncan Regehr, Ryan Lambert, Stephen Macht, Tom Noonan",United States,,1987,PG-13,82 min,"Action, Comedy, Horror","Dracula, the Wolf Man, the Gill-Man, the Mummy, and the Frankenstein Monster are in hot pursuit of a mysterious amulet that will allow their return and only the movie-loving kids in the neighborhood Monster Club can stop them!"
589,s590,TV Show,The Kicks,,"Sixx Orange, Isabella Acres, E'myri Crutchfield, Gabe Eggerling, Sophia Mitri Schloss, Monica Lacy, Tim Martin Gleason",United States,,2016,ALL,1 Season,Kids,"Devin Burke and her family have moved cross-country to California and now must adjust to a new life and a new soccer team. The Kentville Kicks don't quite play up to the standard that Devin is used to, so she must establish herself as a leader while also trying to make friends in a strange place."
607,s608,Movie,The Immortalists,"David Alvarado, Jason Sussberg","Bill Andrews, Aubrey de Grey, Colin Blakemore, Adelaide Carpenter, Terry Grossman, Leonard Hayflick, Randy Lee","United Kingdom, United States, India",,2014,7+,77 min,"Documentary, Special Interest","What would the world look like if humans never grew old? Two eccentric biologists are determined to find out. In this larger-than-life doc, Bill Andrews and Aubrey de Grey leave behind the journals and peer reviews of the scientific establishment to embark on a quest for the age-old secret of eternal youth."
698,s699,TV Show,The Dangerous Book for Boys,,"Kyan Zielinski, Drew Logan Powell, Erinn Hayes, Chris Diamantopoulos, Gabriel Bateman",United States,,2018,7+,1 Season,Young Adult Audience,"The McKenna family must cope with the passing of its much-loved patriarch, Patrick. Hope appears in the form of a book called The Dangerous Book for Boys that Patrick created for his three sons. It becomes a how-to guide that inspires fantasies in his youngest son, Wyatt, enabling him to reconnect with his father and learn lessons that help him navigate real life."
708,s709,Movie,The Court Jester,"Melvin Frank, Norman Panama","Danny Kaye, Glynis Johns, Basil Rathbone, Angela Lansbury, Cecil Parker",United States,,1956,ALL,101 min,"Action, Comedy","Danny Kaye plays kind-hearted entertainer Hawkins who disguises himself as the legendary king of jesters, Giacomo. Hawkins infiltrates the court of the evil villain Basil Rathbone, but when a sorceress hypnotises him, royal chaos ensues."
848,s849,Movie,Super Size Me 2: Holy Chicken!,Morgan Spurlock,Morgan Spurlock,United States,,2019,PG-13,103 min,"Comedy, Documentary, Special Interest",Muckraking filmmaker Morgan Spurlock reignites his battle with the food industry - this time with Big Chicken - as he opens his own fast food restaurant.
849,s850,Movie,Super Size Me,Morgan Spurlock,Morgan Spurlock,United States,,2004,PG-13,99 min,Special Interest,"Winner at Sundance, director Morgan Spurlock's social experiment in fast-food gastronomy sees him attempting to subsist uniquely on food from the McDonald's menu for an entire month. In the process his weight balloons, his energy level plummets and he experiences all sorts of unexpected – and terrifying – side effects."
916,s917,Movie,Stagecoach - The Original John Wayne Classic,John Ford,"John Wayne, Claire Trevor, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Tim Holt, Tom Tyler, Yakima Canutt",United States,,1939,7+,96 min,"Adventure, Drama, Western","A stagecoach sets off across the untamed wilderness carrying a mixed assortment of characters whose journey is complicated by an Apache raiding party. Directed by John Ford, the original 1939 Stagecoach has long been recognized as one of the most influential films ever made & transcends the Western genre. Winner of 2 Academy Awards & 5 Nominations, it features John Wayne in his breakthrough role!"
939,s940,Movie,Song One,Kate Barker-Froyland,"Anne Hathaway, Johnny Flynn, Mary Steenburgen, Ben Rosenfield",United States,,2015,PG-13,88 min,"Arthouse, Arts, Entertainment, and Culture, Drama","Oscar winner Anne Hathaway stars as Franny in this romance set in Brooklyn's indie music scene. After her brother is in an accident, Franny returns home only to fall in love with her brother's musical idol."
955,s956,Movie,Soapdish,Michael Hoffman,"Robert Downey Jr., Sally Field, Teri Hatcher, Cathy Moriarty, Paul Johansson, Elisabeth Shue, Whoopi Goldberg, Kevin Kline, Carrie Fisher, Kathy Najimy, Willie Garson",United States,,1991,PG-13,96 min,Comedy,"The cast and crew of The Sun Also Sets, America's hottest soap opera have on-screen drama and off-screen craziness with enough dirty laundry to keep everyone in hot water in this unadulterated comedy."
1102,s1103,Movie,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renee Zellweger, Djimon Hounsou, Jon Voight",United States,,2017,PG-13,119 min,Drama,"From The NY Times bestseller comes an inspirational true story about two men from drastically different backgrounds, who develop a surprising bond that will lead them on the most remarkable journey of their lives and forge an everlasting friendship."
1706,s1707,Movie,Maximum Ride,Jay Martin,"Allie Marie Evans, Patrick Johnson, Lyliana Wray, Luke Gregory Crosby, Gavin Lewis",United States,,2016,PG-13,88 min,"Action, Science Fiction","Maximum Ride is the extraordinary journey of six DNA-enhanced young orphans with the ability to fly - on a mission to rescue the youngest of their flock while discovering, scientific diabolical secrets of how they came to exist."
1796,s1797,Movie,"Love, Kennedy",T.C. Christensen,"Jasen Wade, Heather Beers, Tatum Chiniquy",United States,,2017,PG,92 min,Faith and Spirituality,"Kennedy Hansen is a 15 year old girl with three goals, drive a car, date boys and be a cheerleader. Even though she contracts a terrible disease, Kennedy is able to triump over her obstacles and make her dreams come true."
1810,s1811,TV Show,Lost In Oz,,"Ashley Boettcher, Alexander Polinsky, Grey Griffin, Keith Ferguson, Kath Soucie, Stephen Stanton, Jorge Diaz, Chris Cox, Nika Futterman","United Kingdom, Canada, United States",,2018,ALL,2 Seasons,Kids,"13 new episodes of the multi-Emmy Award-Winning series LOST IN OZ take Dorothy, Toto, and their friends to new, magical, and perilous lands, as well as some surprisingly familiar worlds. They'll make new friends, face new enemies, and reunite with loved ones from Emerald City and beyond!"
1844,s1845,TV Show,Little Big Awesome,,"Fred Tatasciore, Jessica McKenna, Weird Al Yankovic, Aimee Mann, Kate Micucci, Dana Snyder, Ennis Esmer, Lennon Parham, Roger L. Jackson, Betsy Sodaro, Lonny Ross, Jon Luke Thomas, Kat Palardy",United States,,2018,ALL,2 Seasons,Kids,"Little Big Awesome follows Gluko and Lennon, the two best friends ever of all time in the history of everything.  While having weird and wonderful adventures around Townopolis, these besties help the citizens live their best lives, even if helping sometimes causes more problems than it solves."
1918,s1919,TV Show,Kung Fu Panda: The Paws of Destiny,,"Gunnar Sizemore, Haley Tju, Chrissy Metz, Makana Say, James Hong, Mick Wingert, Laya DeLeonHayes",United States,,2019,7+,2 Seasons,Kids,"Now famously known as the Four Constellations the panda kids are summoned by the Emperor to the Forbidden City, making Po fear the kids might not need his teachings anymore. But when friends turn to foes, all our heroes will need to draw from their Chi and all their Kung Fu knowledge to defeat evil in an explosive and epic battle."
2004,s2005,Movie,Joni,James F. Collier,"Joni Eareckson Tada, Bert Remsen, Katherine DeHetre, Cooper Huckabee, John Milford, Michael Mancini",United States,,1979,PG,112 min,Drama,"She was young...vital...just 17, when a diving accident snapped her neck and left her paralyzed. The months that followed were filled with great physical, emotional, and spiritual struggles for Joni Eareckson Tada. In this true-life story, Joni relives her joys and sorrows, her fears and victories. Trying to cope, she learns to paint using her mouth and finds strength in her new faith."
2192,s2193,Movie,Honest Thief,Mark Williams,"Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney",United States,,2020,PG-13,99 min,"Action, Suspense","Wanting to lead an honest life, a notorious bank robber (Liam Neeson) turns himself in, only to be double-crossed by two ruthless FBI agents."
2248,s2249,Movie,Harold and Maude,Hal Ashby,"Ruth Gordon, Bud Cort, Tom Skerritt",United States,,1971,PG,92 min,"Comedy, Drama","Harold is young, rich and obsessed with death. Maude is a lovable a fun-loving 80-year-old eccentric. When the two meet at a funeral and develop a deep bond, they must reconcile their disparate beliefs about the meaning life."
